;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Agnadello, Marconi, 6;0;0;0;0;2;1;7;0;1;2;0;8;2;2;28;3;1;0;0;0;0;1;2;1;4;0;3;2;13;0;0;0;13;1;2;1;2;1;27;0;6;5;0;4;0;0;1;0;2;0;2;5;5;0;3;0;2;0;0;0;0;1;0;1
Annicco, Giuseppe Garibaldi, 6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
Bagnolo Cremasco, Roma, 3;10;0;0;6;1;2;10;2;0;6;0;11;3;6;224;5;4;0;1;3;1;2;9;6;30;0;19;14;54;0;0;0;48;10;14;13;21;9;104;0;6;24;0;25;1;0;8;0;8;1;1;22;35;9;38;3;6;6;0;3;1;0;0;7
Bonemerse, Roma, 25;1;0;0;0;0;0;0;0;0;0;0;1;0;1;14;1;0;1;0;0;0;1;2;0;1;0;1;2;2;0;0;1;8;0;1;2;0;1;6;0;0;0;0;1;0;0;2;0;0;1;0;3;1;0;1;0;0;0;0;0;0;0;0;0
Camisano, Trieste, 57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Capergnanica, XI febbraio, 7;1;0;0;0;0;0;1;0;0;0;0;2;0;0;16;1;1;0;1;0;0;0;2;1;1;0;4;0;7;0;0;0;3;0;1;0;4;0;8;0;1;3;0;1;2;0;0;0;0;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0
Capralba, Piave, 2;3;0;4;0;0;1;0;0;0;2;0;7;0;4;81;4;2;0;1;0;1;0;11;0;17;0;12;18;26;0;0;0;16;6;12;2;9;0;16;0;4;11;2;5;1;0;4;0;1;0;7;14;11;5;3;3;1;2;0;3;0;0;0;5
Casalbuttano ed Uniti, Jacini, 23;1;0;2;0;0;0;0;0;0;1;0;0;1;1;16;0;1;0;0;0;0;0;0;0;2;0;3;1;3;0;0;0;5;0;2;2;0;1;2;0;1;0;0;1;0;0;1;0;2;0;2;3;3;0;1;1;0;0;0;1;0;0;0;1
Casale Cremasco-Vidolasco, Roma, 56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;2;0;1;1;0;0;1;0;1;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;1;0;0;2;0;0;0;1
Casalmaggiore, Guglielmo Marconi, 8;7;0;6;6;0;1;7;5;0;0;0;21;1;1;267;8;13;5;3;3;1;1;8;1;30;0;24;9;48;1;0;2;34;18;14;12;7;8;199;0;8;16;3;22;5;0;23;0;10;4;7;35;21;23;8;7;1;4;0;6;4;1;0;15
Casalpusterlengo, Pusterla 7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castelleone, Roma, 67;11;0;16;5;1;2;11;11;4;18;0;0;3;3;352;13;18;3;2;3;1;1;15;7;65;1;36;25;81;1;3;2;81;31;19;16;17;9;152;0;30;29;1;23;9;0;14;0;18;0;8;59;61;21;17;21;13;10;0;8;3;0;0;21
Castelverde, Ubaldo Ferrari, 15;1;0;1;1;0;0;1;0;0;2;0;3;0;0;29;0;1;0;0;0;0;0;3;0;2;0;0;1;5;0;0;0;3;1;0;1;2;1;23;0;1;2;0;3;0;0;4;0;1;1;0;9;5;0;2;1;0;1;0;1;1;0;0;1
Cingia de' Botti, Giuseppina, 79;0;0;2;2;0;1;1;0;0;3;0;2;0;0;23;1;0;1;0;1;0;0;0;0;3;0;3;0;9;0;0;0;4;2;2;0;1;0;19;0;2;2;0;1;0;0;4;0;0;0;3;4;6;2;1;2;0;1;0;0;0;0;0;1
Crema, Civerchi, 9;22;1;21;7;0;5;21;10;1;24;0;39;1;4;0;11;20;1;6;4;0;4;24;5;67;0;37;22;112;0;6;3;71;25;13;17;32;6;463;0;21;41;0;38;7;0;21;0;18;2;10;76;62;32;21;28;12;9;1;18;4;0;0;30
Cremona, Ugolani Dati, 4;12;0;0;1;0;5;5;0;0;8;0;14;0;0;23;0;0;0;0;0;0;0;2;0;12;0;2;2;5;0;0;0;9;0;6;1;1;0;187;0;0;3;0;6;0;0;1;0;1;0;0;2;1;0;0;0;0;0;1;9;1;0;0;0
